0,40,-0.04
0.04,40,-0.08
0.08,40,-0.12
0.12,40,-0.16
0.16,40,-0.2
0.2,39.999,-0.24
0.24,39.999,-0.28
0.28,39.999,-0.32
0.32,39.999,-0.36
0.36,39.998,-0.39999
0.39999,39.998,-0.43999
0.43999,39.997,-0.47999
0.47999,39.997,-0.51999
0.51999,39.996,-0.55998
0.55998,39.996,-0.59998
0.59998,39.995,-0.63997
0.63997,39.995,-0.67997
0.67997,39.994,-0.71996
0.71996,39.993,-0.75995
0.75995,39.992,-0.79995
0.79995,39.992,-0.83994
0.83994,39.991,-0.87993
0.87993,39.99,-0.91992
0.91992,39.989,-0.95991
0.95991,39.988,-0.9999
0.9999,39.987,-1.0399
1.0399,39.986,-1.0799
1.0799,39.985,-1.1199
1.1199,39.984,-1.1598
1.1598,39.983,-1.1998
1.1998,39.981,-1.2398
1.2398,39.98,-1.2798
1.2798,39.979,-1.3198
1.3198,39.978,-1.3597
1.3597,39.976,-1.3997
1.3997,39.975,-1.4397
1.4397,39.973,-1.4797
1.4797,39.972,-1.5196
1.5196,39.97,-1.5596
1.5596,39.969,-1.5996
1.5996,39.967,-1.6395
1.6395,39.966,-1.6795
1.6795,39.964,-1.7195
1.7195,39.962,-1.7594
1.7594,39.96,-1.7994
1.7994,39.959,-1.8394
1.8394,39.957,-1.8793
1.8793,39.955,-1.9193
1.9193,39.953,-1.9592
1.9592,39.951,-1.9992
1.9992,39.949,-2.0391
2.0391,39.947,-2.0791
2.0791,39.945,-2.119
2.119,39.943,-2.159
2.159,39.941,-2.1989
2.1989,39.938,-2.2388
2.2388,39.936,-2.2788
2.2788,39.934,-2.3187
2.3187,39.932,-2.3586
2.3586,39.929,-2.3986
2.3986,39.927,-2.4385
2.4385,39.924,-2.4784
2.4784,39.922,-2.5183
2.5183,39.919,-2.5583
2.5583,39.917,-2.5982
2.5982,39.914,-2.6381
2.6381,39.912,-2.678
2.678,39.909,-2.7179
2.7179,39.906,-2.7578
2.7578,39.903,-2.7977
2.7977,39.901,-2.8376
2.8376,39.898,-2.8775
2.8775,39.895,-2.9174
2.9174,39.892,-2.9573
2.9573,39.889,-2.9972
2.9972,39.886,-3.0371
3.0371,39.883,-3.077
3.077,39.88,-3.1168
3.1168,39.877,-3.1567
3.1567,39.874,-3.1966
3.1966,39.87,-3.2365
3.2365,39.867,-3.2763
3.2763,39.864,-3.3162
3.3162,39.861,-3.356
3.3561,39.857,-3.3959
3.3959,39.854,-3.4358
3.4358,39.85,-3.4756
3.4756,39.847,-3.5155
3.5155,39.843,-3.5553
3.5553,39.84,-3.5951
3.5951,39.836,-3.635
3.635,39.833,-3.6748
3.6748,39.829,-3.7146
3.7146,39.825,-3.7545
3.7545,39.822,-3.7943
3.7943,39.818,-3.8341
3.8341,39.814,-3.8739
3.8739,39.81,-3.9137
3.9137,39.806,-3.9535
3.9535,39.802,-3.9933
3.9933,39.798,-4.0331
4.0331,39.794,-4.0729
4.0729,39.79,-4.1127
4.1127,39.786,-4.1525
4.1525,39.782,-4.1923
4.1923,39.778,-4.2321
4.2321,39.773,-4.2718
4.2718,39.769,-4.3116
4.3116,39.765,-4.3514
4.3514,39.76,-4.3911
4.3911,39.756,-4.4309
4.4309,39.752,-4.4706
4.4706,39.747,-4.5104
4.5104,39.743,-4.5501
4.5501,39.738,-4.5899
4.5899,39.733,-4.6296
4.6296,39.729,-4.6693
4.6693,39.724,-4.7091
4.7091,39.719,-4.7488
4.7488,39.715,-4.7885
4.7885,39.71,-4.8282
4.8282,39.705,-4.8679
4.8679,39.7,-4.9076
4.9076,39.695,-4.9473
4.9473,39.69,-4.987
4.987,39.685,-5.0267
5.0267,39.68,-5.0664
5.0664,39.675,-5.106
5.106,39.67,-5.1457
5.1457,39.665,-5.1854
5.1854,39.66,-5.225
5.225,39.655,-5.2647
5.2647,39.649,-5.3043
5.3043,39.644,-5.344
5.344,39.639,-5.3836
5.3836,39.633,-5.4232
5.4232,39.628,-5.4629
5.4629,39.622,-5.5025
5.5025,39.617,-5.5421
5.5421,39.611,-5.5817
5.5817,39.606,-5.6213
5.6213,39.6,-5.6609
5.6609,39.595,-5.7005
5.7005,39.589,-5.7401
5.7401,39.583,-5.7797
5.7797,39.577,-5.8193
5.8193,39.572,-5.8588
5.8588,39.566,-5.8984
5.8984,39.56,-5.938
5.938,39.554,-5.9775
5.9775,39.548,-6.0171
6.0171,39.542,-6.0566
6.0566,39.536,-6.0962
6.0962,39.53,-6.1357
6.1357,39.524,-6.1752
6.1752,39.517,-6.2147
6.2147,39.511,-6.2542
6.2542,39.505,-6.2937
6.2937,39.499,-6.3332
6.3332,39.492,-6.3727
6.3727,39.486,-6.4122
6.4122,39.479,-6.4517
6.4517,39.473,-6.4912
6.4912,39.467,-6.5306
6.5306,39.46,-6.5701
6.5701,39.453,-6.6095
6.6095,39.447,-6.649
6.649,39.44,-6.6884
6.6884,39.433,-6.7279
6.7279,39.427,-6.7673
6.7673,39.42,-6.8067
6.8067,39.413,-6.8461
6.8461,39.406,-6.8855
6.8855,39.399,-6.9249
6.9249,39.393,-6.9643
6.9643,39.386,-7.0037
7.0037,39.379,-7.0431
7.0431,39.372,-7.0825
7.0825,39.364,-7.1218
7.1218,39.357,-7.1612
