1,-59550,-6.1916,-59548
1,-57850,-6.28382,-57848
1,-56125,-6.37208,-56123
1,-54375,-6.45899,-54373
1,-52600,-6.54298,-52598
1,-50803,-6.62494,-50801
1,-48982,-6.70332,-48980
1,-47140,-6.77887,-47138
1,-45278,-6.85155,-45276
1,-43398,-6.9212,-43396
1,-41495,-6.98748,-41493
1,-39575,-7.05118,-39573
1,-37638,-7.11185,-37636
1,-35685,-7.1694,-35683
1,-33715,-7.22397,-33713
1,-31730,-7.27541,-31728
1,-29732,-7.32378,-29730
1,-27720,-7.36893,-27718
1,-25698,-7.4107,-25696
1,-23662,-7.44949,-23660
1,-21617,-7.48511,-21615
1,-19562,-7.51721,-19560
1,-17498,-7.54633,-17496
1,-15427,-7.57228,-15425
1,-13349,-7.59495,-13347
1,-11265,-7.6141,-11263
1,-9176,-7.63022,-9174
1,-7083,-7.64307,-7081
1,-4987,-7.65264,-4985
1,-2888,-7.65884,-2886
1,-789,-7.66182,-787
1,1311,-7.66142,1311
1,3410,-7.65775,3410
1,5508,-7.65081,5508
1,7604,-7.64064,7604
1,9696,-7.62709,9696
1,11784,-7.61028,11784
1,13866,-7.59023,13866
1,15943,-7.56692,15943
1,18012,-7.54033,18012
1,20074,-7.51046,20074
1,22126,-7.47737,22126
1,24170,-7.44116,24170
1,26202,-7.40157,26202
1,28222,-7.35896,28222
1,30230,-7.31317,30230
1,32225,-7.2641,32225
1,34208,-7.21206,34208
1,36172,-7.1569,36172
1,38122,-7.09856,38122
1,40055,-7.03724,40055
1,41970,-6.9724,41970
1,43868,-6.90543,43868
1,45742,-6.83573,45742
1,47600,-6.7625,47600
1,49438,-6.68635,49438
1,51252,-6.60464,51252
1,53042,-6.51996,53042
1,54812,-6.4323,54812
1,56555,-6.34499,56555
1,58275,-6.2548,58275
1,59970,-6.16054,59970
1,61635,-6.06485,61635
1,63275,-5.96687,63275
1,64887,-5.8672,64887
1,66472,-5.76406,66472
1,68025,-5.65939,68025
1,69550,-5.55129,69550
1,71042,-5.44111,71042
1,72505,-5.32844,72505
1,73935,-5.2132,73935
1,75332,-5.09508,75332
1,76698,-4.97686,76698
1,78028,-4.85547,78028
1,79325,-4.73189,79325
1,80585,-4.60628,80585
1,81810,-4.47898,81810
1,83000,-4.3497,83000
1,84152,-4.21923,84152
1,85270,-4.08622,85270
1,86348,-3.95149,86348
1,87388,-3.81516,87388
1,88390,-3.67715,88390
1,89352,-3.53874,89352
1,90275,-3.39794,90275
1,91158,-3.25433,91158
1,92000,-3.11145,92000
1,92805,-2.96664,92805
1,93565,-2.82034,93565
1,94285,-2.67166,94285
1,94965,-2.52308,94965
1,95602,-2.37346,95602
1,96198,-2.22285,96198
1,96750,-2.07139,96750
1,97260,-1.9179,97260
1,97725,-1.7658,97725
1,98150,-1.61206,98150
1,98530,-1.45916,98530
1,98867,-1.30413,98867
1,99160,-1.14846,99160
1,99410,-0.99387,99410
1,99615,-0.8376,99615
1,99778,-0.68074,99778
1,99895,-0.52402,99895
1,99970,-0.36701,99968
2,100000,-0.1969,99969
2,99978,-0.04013,99978
2,99910,0.12214,99910
2,99797,0.28014,99797
2,99642,0.43676,99642
2,99445,0.59159,99445
2,99200,0.74746,99200
2,98915,0.90284,98915
2,98582,1.05688,98582
2,98210,1.21101,98210
2,97792,1.36465,97792
2,97332,1.51775,97332
2,96830,1.66861,96830
2,96282,1.81997,96282
2,95695,1.97039,95695
2,95065,2.11867,95065
2,94392,2.2674,94392
2,93677,2.41479,93677
2,92922,2.55965,92922
2,92125,2.70431,92125
2,91288,2.84788,91288
2,90410,2.98991,90410
2,89495,3.13075,89495
2,88538,3.2701,88538
2,87543,3.40702,87543
2,86508,3.54315,86508
2,85435,3.67749,85435
2,84325,3.81015,84325
2,83178,3.94117,83178
2,81992,4.0702,81992
2,80772,4.19755,80772
2,79518,4.32167,79518
2,78228,4.44525,78228
2,76902,4.56545,76902
2,75542,4.68471,75542
2,74150,4.80159,74150
2,72725,4.91619,72725
2,71268,5.02761,71268
2,69778,5.13765,69778
2,68258,5.24465,68258
2,66710,5.34983,66710
2,65130,5.45252,65130
2,63522,5.55273,63522
2,61888,5.65041,61888
2,60222,5.7462,60222
2,58535,5.83783,58535
2,56818,5.92758,56818
2,55078,6.01409,55078
2,53312,6.09828,53312
2,51525,6.17979,51525
2,49713,6.25842,49713
2,47880,6.33358,47880
2,46028,6.40641,46028
2,44152,6.47626,44152
2,42258,6.54323,42258
2,40345,6.60722,40345
2,38415,6.66814,38415
2,36468,6.72599,36468
2,34505,6.78036,34505
2,32527,6.83205,32527
2,30535,6.88097,30535
2,28528,6.92596,28528
2,26510,6.96858,26510
2,24478,7.00797,24478
2,22437,7.04354,22437
2,20386,7.07618,20386
2,18326,7.10555,18326
2,16257,7.1315,16257
2,14182,7.15442,14182
2,12100,7.17406,12100
2,10013,7.19043,10013
2,7921,7.20363,7921
2,5826,7.21325,5826
2,3729,7.21975,3729
2,1630,7.22293,1630
2,-470,7.22283,-468
2,-2570,7.21945,-2568
2,-4669,7.21271,-4667
2,-6765,7.20269,-6763
2,-8859,7.18944,-8857
2,-10949,7.17282,-10947
2,-13033,7.15298,-13031
2,-15112,7.12991,-15110
2,-17185,7.10357,-17183
2,-19250,7.07395,-19248
2,-21306,7.04136,-21304
2,-23353,7.00529,-23351
2,-25390,6.966,-25388
2,-27415,6.92348,-27413
2,-29428,6.87784,-29426
2,-31428,6.82913,-31426
2,-33415,6.77724,-33413
2,-35388,6.72222,-35386
2,-37342,6.66413,-37340
2,-39282,6.60306,-39280
2,-41205,6.53951,-41203
2,-43110,6.47224,-43108
2,-44995,6.40204,-44993
2,-46860,6.32966,-46858
2,-48705,6.25306,-48703
2,-50527,6.17483,-50525
2,-52328,6.09327,-52326
2,-54108,6.00874,-54106
2,-55860,5.92222,-55858
2,-57590,5.83203,-57588
2,-59295,5.73941,-59293
2,-60972,5.64416,-60970
2,-62622,5.54628,-62620
2,-64245,5.44676,-64243
2,-65840,5.34392,-65838
2,-67408,5.2386,-67406
2,-68942,5.13085,-68940
